request_id,item_id,ctr_label,cvr_label,position,unionid,membership_tier,device,user_segment,user_age,activity_7d,historical_ctr,historical_cvr,user_pay_tendency_30d,author_id,content_id,brand_tier,content_type,price,quality_score,seller_score,item_ctr_7d,item_cvr_7d,hour_of_day,is_weekend,network_type,session_depth,traffic_source,seq_click_rate_7d,seq_watch_depth_7d,seq_skip_rate_7d,seq_ecom_exposure_7d,seq_live_watch_rate_7d,cross_ctr_gap,cross_price_gap,cross_user_author_affinity,cross_user_item_similarity,cross_query_item_intent,candidate_score
1,1,0,0,1,14593,free,ios,high_value,55,12,0.067549,0.016858,0.3945,410,1,premium,short_video,36.44,0.7296,4.8278,0.0618,0.0056,0,0,3,28,search,0.1044,0.4185,0.5497,15.5937,0.2252,0.0546,0.2738,0.0,0.3023,0.0,0.0484
1,2,1,0,2,9117,gold,desktop,high_value,47,9,0.049218,0.01124,0.2949,751,2,premium,short_video,38.66,0.7922,4.8555,0.0597,0.0005,5,0,4,36,ads,0.1284,0.4791,0.4162,14.6294,0.2746,-0.358,-0.1053,0.2231,0.3991,0.0525,0.4951
1,3,0,0,3,34439,gold,android,active,23,14,0.021316,0.017708,0.2926,12240,3,luxury,short_video,41.97,0.579,4.7229,0.0013,0.0126,14,0,5,1,search,0.1095,0.2685,0.6099,6.9579,0.1928,-0.1992,-0.0554,0.293,0.488,0.1652,0.4289
1,4,1,0,4,26072,free,desktop,active,49,29,0.071178,0.025926,0.0245,2505,4,luxury,short_video,19.19,0.9095,4.0798,0.1047,0.0221,2,0,5,35,affiliate,0.1226,0.2565,0.2103,19.9542,0.157,0.4445,-0.2139,0.2441,0.0,0.0967,0.567
1,5,1,0,5,44314,free,ios,active,20,15,0.058489,0.015896,0.4424,345,5,mass,short_video,16.52,0.8435,4.3718,0.1305,0.012,15,1,4,27,search,0.1283,0.4072,0.2576,22.4065,0.0,0.0731,-0.4667,0.0,0.3489,0.2542,0.3295
1,6,1,0,6,9881,gold,ios,high_value,23,26,0.045917,0.01963,0.3696,7261,6,mass,short_video,13.82,0.8093,4.5879,0.0897,0.0196,12,1,5,30,homepage,0.103,0.5811,0.3758,0.6409,0.1071,-0.2161,0.0904,0.3103,0.4741,0.2538,0.6648
1,7,0,0,7,24357,silver,ios,active,56,16,0.067249,0.009324,0.0583,1123,7,premium,short_video,18.21,0.6496,4.3099,0.0892,0.0122,8,0,4,20,search,0.0091,0.4377,0.4301,17.4624,0.0682,-0.1953,0.3517,0.326,0.1041,0.1568,0.4804
1,8,0,0,8,69330,silver,desktop,high_value,24,13,0.052226,0.013909,0.3211,129,8,premium,short_video,13.41,0.7858,4.2632,0.1267,0.0106,8,0,5,6,search,0.0575,0.1152,0.5486,20.4637,0.4082,0.4502,0.1993,0.3635,0.1365,0.0,0.8508
1,9,0,0,9,5483,vip,desktop,active,60,23,0.088047,0.021099,0.1181,5051,9,mass,live,29.12,0.9171,4.2868,0.1438,0.0044,5,0,2,22,search,0.1304,0.1786,0.2842,3.7219,0.1808,0.1295,-0.1036,0.0,0.3971,0.2035,0.6456
1,10,1,0,10,36518,gold,android,new,39,17,0.060942,0.019931,0.2026,14162,10,premium,mall,52.26,0.7996,4.6681,0.1101,0.027,23,0,4,33,homepage,0.2001,0.5679,0.4277,20.8023,0.0462,0.1042,0.1854,0.0,0.4737,0.0641,0.5825
